Type	cluster_no	total_k	total_s
Mexican Restaurant	0	407	7
Mexican Restaurant	1	50	0
Mexican Restaurant	2	142	14
Mexican Restaurant	3	388	2
Mexican Restaurant	4	0	155
Mexican Restaurant	5	0	17
Mexican Restaurant	6	0	4
Mexican Restaurant	7	0	336
Mexican Restaurant	8	0	2
Mexican Restaurant	9	0	105
Mexican Restaurant	11	0	1
Mexican Restaurant	13	0	343
