X,Y,OBJECTID,STN_NAME,STN_NO,LOCATION,AREA,REGION,LOC
103.85907979999999,1.281873788,115,BAYFRONT MRT STATION,DT16,MARINA BAY,CENTRAL_BUSINESS_DISTRICT,CENTRAL,CBD
103.860853,1.292891552,102,PROMENADE MRT STATION,DT15,BUGIS,CENTRAL_BUSINESS_DISTRICT,CENTRAL,CBD
103.8568683,1.299550746,103,BUGIS MRT STATION,DT14,BUGIS,BUGIS_KALLANG_ROCHOR,CENTRAL,C7
103.85242170000001,1.3039164840000002,167,ROCHOR MRT STATION,DT13,BUGIS,BUGIS_KALLANG_ROCHOR,CENTRAL,C7
103.8485846,1.3071982229999999,168,LITTLE INDIA MRT STATION,DT12,ORCHARD,BUGIS_KALLANG_ROCHOR,CENTRAL,C7
103.837811,1.313607102,133,NEWTON MRT STATION,DT11,ORCHARD,ORCHARD,CENTRAL,C5
103.82602440000001,1.320065557,170,STEVENS MRT STATION,DT10,ORCHARD,BUKIT_TIMAH,CENTRAL,C4
103.76153509999999,1.379002117,171,BUKIT PANJANG MRT STATION,DT1,BUKIT PANJANG,CCK_BUKIT_BATOK_BUKIT_PANJANG,WEST,W1
103.9883647,1.357314545,180,CHANGI AIRPORT MRT STATION,CG2,CHANGI,PASIR_RIS_CHANGI,EAST,E2
103.96154820000001,1.334549778,18,EXPO MRT STATION,CG1,CHANGI,TAMPINES_SIMEI,EAST,E4
103.855094,1.276150637,129,MARINA BAY MRT STATION,CE2,RAFFLES,CENTRAL_BUSINESS_DISTRICT,CENTRAL,CBD
103.85907979999999,1.281873788,115,BAYFRONT MRT STATION,CE1,RAFFLES,CENTRAL_BUSINESS_DISTRICT,CENTRAL,CBD
103.8921788,1.317430268,152,PAYA LEBAR MRT STATION,CC9,NICOLL HIGHWAY,PAYA_LEBAR,EAST,E3
103.88866259999999,1.308382639,154,DAKOTA MRT STATION,CC8,NICOLL HIGHWAY,GEYLANG_MACPHERSON,CENTRAL,C8
103.8825281,1.306201905,118,MOUNTBATTEN MRT STATION,CC7,NICOLL HIGHWAY,GEYLANG_MACPHERSON,CENTRAL,C8
103.87535030000001,1.30284063,110,STADIUM MRT STATION,CC6,NICOLL HIGHWAY,GEYLANG_MACPHERSON,CENTRAL,C8
103.863637,1.299766835,126,NICOLL HIGHWAY MRT STATION,CC5,NICOLL HIGHWAY,GEYLANG_MACPHERSON,CENTRAL,C8
103.86099920000001,1.293218051,184,PROMENADE MRT STATION,CC4,RAFFLES,CENTRAL_BUSINESS_DISTRICT,CENTRAL,CBD
103.85550409999999,1.293321608,125,ESPLANADE MRT STATION,CC3,RAFFLES,CENTRAL_BUSINESS_DISTRICT,CENTRAL,CBD
103.8214431,1.26547264,101,HARBOURFRONT MRT STATION,CC29,HARBOUR FRONT,BUKIT_MERAH,CENTRAL,C2
103.80974859999999,1.270753211,189,TELOK BLANGAH MRT STATION,CC28,HARBOUR FRONT,BUKIT_MERAH,CENTRAL,C2
103.8029396,1.272332732,130,LABRADOR PARK MRT STATION,CC27,BUONA VISTA,BUKIT_MERAH,CENTRAL,C2
